	H1650	H23	CAL-12T	H358	H1975	HCC15	H1355	HCC827	H2405	HCC78	H1666	H661	H838	H1703	CALU-3	H2342	H2228	H1299	H1792	H460	H2106	H441	H1944	H1437	H1734	LOU-NH91	HCC44	A549	H1781
ARNT	-0.871419387	0.932290074	-0.391859218	0.104816966	-0.211864327	-0.389277453	0.972479078	-0.846400441	0.339356453	0.103126733	0.193232774	-0.221007347	1.39602336	1.56668081	-0.574061045	0.659777276	-0.536553643	-0.506765263	-0.953473615	0.035118076	-0.112053022	-0.293909797	-0.432769855	2.364500406	1.044749223	-0.91270135	-1.523815918	-0.542237379	1.013288125
ARNTL	-0.830716221	-0.998464329	0.520257539	0.323935452	0.552697935	0.452009384	-1.041606077	-0.686855166	0.297721803	0.230406271	0.402055521	-0.773238869	-0.428549372	-0.425877506	-1.095937315	-0.737611681	1.896550028	-0.068365437	-0.340215098	-0.963487993	1.572096465	0.5703761	-0.570823976	0.077328123	2.293671784	0.512698333	0.232983882	0.653044193	0.607732609
MXD1	0.35269706	-1.208043081	-0.109692965	0.304248436	-0.277413144	0.276197351	-0.731430395	0.127578089	-0.901682397	1.190474859	2.329014739	-1.525823215	-0.523765034	-1.666160166	-0.33791222	-0.490052806	0.331570239	-0.641178205	0.960086746	-1.78431937	0.818142696	-0.143528043	-0.966072462	-0.21080508	0.6001613	-1.302060059	1.609484374	-0.728903039	1.094153887
SMAD2	0.579793676	0.913889855	-0.968252562	-1.6006601	-0.850758458	0.618360685	2.025836331	-0.605914164	-0.919325736	-0.314913556	0.992091379	-0.131891232	1.761796935	2.164407016	0.331029631	-0.251723842	-0.674588192	-0.110452699	-0.121261203	1.272868944	0.057989821	-0.39188578	3.505387015	2.561065749	0.007857046	0.562286569	0.616277379	0.449909825	0.202580242
SMAD4	-0.447821289	-0.322031529	-0.60211738	-0.112513873	-0.400209916	-1.07510918	0.127334088	-0.070892552	-3.12412487	0.171770931	-0.530902181	-0.267888305	-0.159917468	0.593951843	0.258211775	-0.263221194	-0.292003686	-0.419534571	0.519330665	0.073194809	0.652912094	-0.217152374	0.754560172	0.227452764	-0.073066329	-0.212698301	0.073672172	-0.587459837	-0.083494672
SMAD5	-0.611266335	-0.621843666	-1.09169549	0.016456131	0.438212532	0.017084829	-0.766459826	-0.4698403	0.524613646	0.918173618	0.435219307	-0.281263618	0.344508846	0.804218592	1.634229926	-2.463929771	0.042571292	-0.62811165	-1.11496251	0.810298312	-1.74704441	0.86652536	1.306576192	0.142168161	-0.723433716	1.261855705	-0.760160753	0.190303309	0.030463668
MDM2	-0.021423162	0.011690479	-0.016205888	-0.86360541	-0.878575513	-0.538401027	0.266641996	-1.102339646	-0.087661013	-0.298115745	0.7668358	-0.202476723	-0.03841993	-0.345845417	-0.651849332	-0.369667315	-1.227119571	-0.024352182	-0.295367725	-0.124788348	-0.442982639	-0.744246219	2.186999313	-0.227907798	-0.448659678	-1.060929099	-0.757353482	0.165072271	-0.389299804
MECP2	-0.983443813	0.467909251	-1.007199793	0.165499209	0.256224446	-0.832688678	-1.505865081	0.702478572	0.121353809	-0.274846757	-0.121463077	0.343142336	-1.310262927	0.845732244	-0.023735801	0.265640702	-0.368224802	-1.114270535	-1.17253122	-0.396817304	0.915600989	0.623383635	-1.311538782	-0.067972189	-2.099206512	0.656379961	0.073916662	-0.867801993	0.314568032
MEF2D	-0.560180604	2.809910594	-0.323304983	-0.692569717	-0.137783116	1.095426524	0.358306418	-0.92779087	-0.270958941	0.231015125	0.130596592	-0.898789242	-0.051837724	-0.313522468	-0.449635617	-1.264665972	-0.00979999	0.444787487	-0.205525401	-0.077137059	-0.243390395	-0.559042045	-0.836338489	1.128705655	0.024157137	-0.806030285	0.396865221	-0.138947372	-0.365747933
MEOX1	-0.541973086	3.339897842	1.541013973	-0.403674879	-0.512893659	-0.152107543	-0.091065628	-0.075414882	0.635478665	-0.255944249	-0.313739611	2.67845014	0.00427876	-0.607176778	-0.210182015	0.150534863	-0.336295639	-0.618082645	-0.383607045	-0.491535209	-0.332699657	-0.475334896	-0.500514348	-0.39120794	-0.415320714	-0.263571108	-0.056913529	-0.444419614	-0.651685178
MEOX2	-0.279473892	-0.205481294	-0.088613416	-0.339709254	-0.411364455	-0.271176164	-0.245563882	-0.242017278	-0.325070891	-0.314672116	-0.345547727	-0.417099817	-0.262880444	-0.386167964	2.52835744	-0.338443806	-0.328430022	-0.336990213	-0.158558587	-0.291316216	-0.264558335	-0.313578741	-0.302592102	-0.389541824	-0.260096457	-0.198250828	-0.309822568	-0.33717434	-0.36683271
MITF	0.993961865	-0.385182887	-0.644445214	0.358419123	1.07094162	-0.890656781	0.879866897	2.010265144	-1.398606494	1.005952781	-0.513453988	0.46887515	0.517788968	-0.729973526	1.488373632	-0.753987409	0.825289178	-0.437474247	-0.344700103	-0.102898144	-0.982580486	0.098189545	-0.881007067	0.872671635	-0.056446612	1.232173315	0.908380845	0.759617993	0.112958992
MLLT3	-0.487823931	-1.146792112	-0.496050796	-0.226454254	-0.346706723	-0.972795527	0.608118131	1.569392966	-0.766521739	1.096523372	-1.345624514	-1.282017833	-1.742339256	-1.145393537	0.383231521	-0.270303824	-0.009925552	-0.011629114	0.175268992	0.28181418	0.151305236	-0.194774547	2.297115956	-1.43315361	-0.276942569	-1.42591191	-0.642969788	0.936279308	1.102441379
NR3C2	-0.841000279	-0.753743075	-0.616677956	-0.515067198	-0.68638825	-1.022464288	-0.715650882	-0.694360606	-0.657850377	1.535637606	-0.919507022	-0.586867154	-0.778068512	-0.701061874	1.640401252	1.455203076	1.152417237	-0.743669099	-0.47351952	-0.852017914	-0.597149913	-0.021070804	0.668099329	-0.235407448	1.000139522	-0.670957674	-0.956622445	-0.620588715	2.251350683
LHX8	-0.366722077	-0.236780534	-0.28231156	-0.357863271	-0.405426235	-0.27969047	-0.230263471	-0.362574248	-0.313379789	-0.170736215	-0.345942812	0.36060718	-0.342908649	-0.348959888	-0.391402516	-0.274645913	-0.356769664	-0.361958351	-0.282550786	-0.569791121	-0.161375924	-0.478503216	0.787163465	-0.129793581	2.777265656	-0.434383032	-0.354544562	2.615855439	0.159552987
